Stop_name_clean,AM_peak,PM_peak
SUNBURY,850,400
DIGGERS REST,300,50
STONY POINT,50,50
CRIB POINT,50,50
MORRADOO,50,50
BITTERN,50,50
HASTINGS,50,50
TYABB,50,50
SOMERVILLE,50,50
BAXTER,50,50
GLEN IRIS,400,250
LEAWARRA,50,50
DARLING,500,150
EAST MALVERN,600,150
HOLMESGLEN,450,350
JORDANVILLE,750,200
FLAGSTAFF,850,8450
MELBOURNE CENTRAL,1650,21750
PARLIAMENT,850,16000
BELGRAVE,300,250
TECOMA,100,50
UPWEY,150,50
ALAMEIN,200,50
ASHBURTON,400,100
BURWOOD,500,100
HARTWELL,300,100
WILLISON,150,50
RIVERSDALE,300,200
CAMBERWELL,1100,1650
FLINDERS STREET,3600,33650
FRANKSTON,750,700
KANANOOK,250,100
SEAFORD,450,150
CARRUM,450,150
BONBEACH,250,50
CHELSEA,500,200
EDITHVALE,350,100
ASPENDALE,300,100
MORDIALLOC,650,400
PARKDALE,400,250
MENTONE,650,800
CHELTENHAM,1150,450
UPPER FERNTREE GULLY,250,100
FERNTREE GULLY,650,150
BORONIA,800,200
BAYSWATER,700,300
HEATHMONT,400,100
HIGHETT,600,250
GLEN WAVERLEY,1600,800
SYNDAL,1250,350
MOUNT WAVERLEY,1050,500
LILYDALE,600,400
MOOROOLBARK,1000,250
CROYDON,700,300
RINGWOOD EAST,500,150
PAKENHAM,500,300
OFFICER,350,100
BEACONSFIELD,350,100
BERWICK,1600,600
NARRE WARREN,750,300
HALLAM,850,300
CRANBOURNE,1600,400
MERINDA PARK,1000,200
DANDENONG,1350,2400
YARRAMAN,350,200
NOBLE PARK,1100,850
SANDOWN PARK,950,150
EAST CAMBERWELL,250,250
CANTERBURY,400,250
CHATHAM,300,150
LABURNUM,550,250
BLACKBURN,1850,900
NUNAWADING,1250,550
MITCHAM,1600,600
HEATHERDALE,900,250
RINGWOOD,1300,1500
AUBURN,950,600
GLENFERRIE,1050,3450
HAWTHORN,700,700
BURNLEY,700,1650
EAST RICHMOND,300,1450
RICHMOND,900,4400
HEYINGTON,150,450
KOOYONG,250,300
TOORONGA,650,550
GARDINER,650,250
SPRINGVALE,1200,1350
WESTALL,750,500
CLAYTON,1350,1500
HUNTINGDALE,1400,2550
OAKLEIGH,1500,1950
HUGHESDALE,800,450
MURRUMBEENA,1300,400
CARNEGIE,1450,700
WERRIBEE,1650,500
HOPPERS CROSSING,1500,600
LAVERTON,1600,450
AIRCRAFT,350,150
WESTONA,300,250
ALTONA,300,200
SEAHOLME,150,50
WESTGARTH,300,150
DENNIS,550,150
FAIRFIELD,700,300
ALPHINGTON,450,200
DAREBIN,200,100
IVANHOE,1000,500
EAGLEMONT,250,50
HEIDELBERG,1200,900
ROSANNA,750,150
MOORABBIN,600,500
PATTERSON,500,200
BENTLEIGH,700,450
MCKINNON,600,200
ORMOND,800,350
GLENHUNTLY,850,450
CAULFIELD,2350,3600
MALVERN,650,800
ARMADALE,650,500
TOORAK,600,450
HAWKSBURN,650,350
SANDRINGHAM,950,450
HAMPTON,750,300
BRIGHTON BEACH,450,200
MIDDLE BRIGHTON,550,450
NORTH BRIGHTON,750,400
GARDENVALE,600,350
ELSTERNWICK,1150,600
RIPPONLEA,800,300
BALACLAVA,1100,600
WINDSOR,750,650
PRAHRAN,800,1200
SOUTH YARRA,2600,4600
UPFIELD,250,300
GOWRIE,300,150
FAWKNER,250,100
MERLYNSTON,500,150
BATMAN,350,150
COBURG,650,350
MORELAND,400,200
ANSTEY,550,200
BRUNSWICK,300,400
JEWELL,350,400
ROYAL PARK,150,400
FLEMINGTON BRIDGE,250,300
MACAULAY,200,350
NORTH MELBOURNE,600,1850
CLIFTON HILL,800,600
VICTORIA PARK,600,950
COLLINGWOOD,300,950
NORTH RICHMOND,350,1000
WEST RICHMOND,300,650
JOLIMONT,150,1100
MACLEOD,500,200
WATSONIA,600,150
GREENSBOROUGH,500,200
MONTMORENCY,300,50
ELTHAM,500,250
DIAMOND CREEK,200,50
WATTLE GLEN,50,50
HURSTBRIDGE,100,50
WILLIAMSTOWN,150,100
WILLIAMSTOWN BEACH,200,150
NORTH WILLIAMSTOWN,450,150
NEWPORT,2100,750
SPOTSWOOD,450,250
YARRAVILLE,1300,500
SEDDON,750,250
WATERGARDENS,2350,550
KEILOR PLAINS,1150,200
ST ALBANS,1250,650
GINIFER,900,500
ALBION,750,250
EPPING,900,650
LALOR,800,200
THOMASTOWN,800,350
KEON PARK,350,300
RUTHVEN,500,100
RESERVOIR,900,600
REGENT,700,200
PRESTON,650,550
BELL,550,350
THORNBURY,650,250
CROXTON,450,150
NORTHCOTE,350,300
MERRI,200,150
RUSHALL,150,100
SUNSHINE,1650,1700
TOTTENHAM,700,300
WEST FOOTSCRAY,1100,350
MIDDLE FOOTSCRAY,350,150
FOOTSCRAY,3850,4750
SOUTH KENSINGTON,450,250
FLEMINGTON RACECOURSE,50,50
SHOWGROUNDS,50,50
BROADMEADOWS,650,1000
JACANA,300,100
GLENROY,1000,450
OAK PARK,750,200
PASCOE VALE,950,300
STRATHMORE,550,200
GLENBERVIE,500,100
ESSENDON,2150,1050
MOONEE PONDS,1050,650
ASCOT VALE,900,250
NEWMARKET,850,500
KENSINGTON,650,350
BOX HILL,2600,2750
SOUTHERN CROSS,3100,30800
ROXBURGH PARK,750,300
CRAIGIEBURN,2400,550
COOLAROO,500,150
LYNBROOK,800,150
CARDINIA ROAD,650,150
SOUTH MORANG,750,350
