stop_name,entries,services_per_day
Aircraft Railway Station,248850.0,1091.0
Albion Railway Station,413900.0,2878.0
Alamein Railway Station,96200.0,1537.0
Alphington Railway Station,249100.0,1694.0
Altona Railway Station,263300.0,992.0
Armadale Railway Station,469600.0,2681.0
Arden Railway Station,0.0,3431.0
Ashburton Railway Station,201950.0,1537.0
Aspendale Railway Station,169500.0,2633.0
Ascot Vale Railway Station,491400.0,1774.0
Anstey Railway Station,365100.0,1470.0
Auburn Railway Station,650000.0,2287.0
Anzac Railway Station,0.0,3441.0
Batman Railway Station,228750.0,1486.0
Bayswater Railway Station,446150.0,1458.0
Brighton Beach Railway Station,332650.0,1957.0
Blackburn Railway Station,1206950.0,2892.0
Balaclava Railway Station,752350.0,1975.0
Belgrave Railway Station,283100.0,1434.0
Bell Railway Station,412250.0,1787.0
Bentleigh Railway Station,586000.0,2675.0
Berwick Railway Station,1008200.0,1797.0
Beaconsfield Railway Station,199950.0,1797.0
Bittern Railway Station,8800.0,0.0
Burnley Railway Station,881250.0,3642.0
Broadmeadows Railway Station,878300.0,1781.0
Bonbeach Railway Station,141600.0,2633.0
Boronia Railway Station,462850.0,1458.0
Box Hill Railway Station,2648350.0,2892.0
Burwood Railway Station,221250.0,1537.0
Brunswick Railway Station,350600.0,1470.0
Baxter Railway Station,2500.0,0.0
Camberwell Railway Station,1260400.0,4302.0
Carrum Railway Station,343700.0,2633.0
Cranbourne Railway Station,1054250.0,1790.0
Canterbury Railway Station,268450.0,2129.0
Cardinia Road Railway Station,405950.0,1797.0
Croydon Railway Station,447350.0,1445.0
Caulfield Railway Station,3205100.0,6541.0
Craigieburn Railway Station,1508250.0,1756.0
Clifton Hill Railway Station,719300.0,3637.0
Chatham Railway Station,183300.0,2129.0
Clayton Railway Station,1514000.0,3674.0
Coolaroo Railway Station,281400.0,1755.0
Carnegie Railway Station,1015400.0,3674.0
Coburg Railway Station,511300.0,1486.0
Crib Point Railway Station,7900.0,0.0
Chelsea Railway Station,352250.0,2633.0
Cheltenham Railway Station,717500.0,2787.0
Collingwood Railway Station,487500.0,3442.0
Croxton Railway Station,244250.0,1787.0
Darebin Railway Station,112450.0,1694.0
Diamond Creek Railway Station,114700.0,921.0
Dennis Railway Station,260800.0,1694.0
Darling Railway Station,262650.0,1363.0
Dandenong Railway Station,1970750.0,3696.0
Diggers Rest Railway Station,165600.0,1820.0
Eaglemont Railway Station,126500.0,1694.0
East Camberwell Railway Station,185950.0,2129.0
Edithvale Railway Station,201450.0,2633.0
Elsternwick Railway Station,763550.0,1975.0
Eltham Railway Station,344100.0,1561.0
East Malvern Railway Station,333800.0,1363.0
East Pakenham Railway Station ,54500.0,1797.0
Epping Railway Station,748150.0,1811.0
East Richmond Railway Station,575900.0,1894.0
Essendon Railway Station,1347950.0,1781.0
Fawkner Railway Station,146600.0,1470.0
Flemington Bridge Railway Station,273600.0,1470.0
Fairfield Railway Station,437700.0,1694.0
Flagstaff Railway Station,3445200.0,6748.0
Frankston Railway Station,1035450.0,2550.0
Flinders Street Railway Station,19633300.0,19603.0
Footscray Railway Station,4383950.0,6886.0
Ferntree Gully Railway Station,337700.0,1452.0
